

30	The end	Конец связи
QRU	Есть ли у вас что-нибудь для меня?	У меня ничего для вас нет
QRV	Готовы ли вы?	Я готов
QRW	Должен ли я сообщить … что вы вызываете его на … кГц (МГц)?	Пожалуйста, сообщите … что я вызываю его на … кГц (МГц)
QRX	Когда вы вызовете меня снова?	Подождите, я вызову вас снова
QRY	Какая моя очередь?	Ваша очередь …
QRZ	Кто меня вызывает?	Вас вызывает …
QSA	Какой силы мои сигналы?	Сила ваших сигналов …
QSB	Замирают ли мои сигналы?	Ваши сигналы замирают
QSC	Ваша станция с малым обменом?	Моя станция с малым обменом
QSD	Имеет ли моя манипуляция дефекты?	Ваша манипуляция имеет дефекты
QSG	Сколько сообщений вы передали?	Я передал ... сообщений
QSK	Можете ли вы слышать меня в паузах между своими сигналами?	Я могу вас слышать в паузах между своими сигналами
QSL	Можете ли вы подтвердить приём?	Ваш приём подтверждаю
QSM	Должен ли я повторить последнее сообщение?	Повторите последнее сообщение
QSN	Слышали ли вы меня на …?	Я вас слышал на … кГц (МГц)
QSO	Можете ли вы связаться с … непосредственно?	Я могу связаться с … непосредственно
QSP	Можете ли вы передать …?	Я могу передать …
QSQ	Имеете ли вы на борту врача?	Я имею на борту врача
QSS	Будете ли вы работать на … кГц (МГц)?	Я буду работать на … кГц (МГц)
QST	Могу ли я работать телефоном?	Я вас слышу, работайте телефоном
QSU	Должен ли я работать на … кГц (МГц)?	Работайте на … кГц (МГц)
QSV	Можете ли вы дать настройку?	Даю настройку
QSW	Должен ли я передавать на данной частоте?	Передавайте на данной частоте
QSX	Слушаете ли вы … на … кГц (МГц)	Я слушаю … на … кГц (МГц)
QSY	Должен ли я перейти на другую частоту?	Перейдите на другую частоту
QSZ	Передавать каждую группу несколько раз?	Передавайте каждую группу по … раза
QTA	Аннулировать радиограмму?	Аннулируйте радиограмму
QTB		Подтверждаю количество слов в сообщении
QTC	Имеется ли у вас сообщение?	У меня имеется для вас сообщение
QTE	Сообщите мой пеленг относительно вас	Ваш пеленг относительно меня …
QTF	Сообщите моё местонахождение?	Ваше местонахождение …
QTH	Сообщите ваши координаты	Я нахожусь …
QTI	Сообщите ваш истинный курс	Мой истинный курс …
QTJ	Сообщите вашу скорость	Моя скорость …
QTK	Сообщите точное время	Точное время …
QTL	Сообщите ваше истинное направление	Моё истинное направление …
QTO	Из какого порта вы вышли?	Я вышел из порта …
QTP	В какой порт вы будете заходить?	Я захожу в порт …
QTR	Сообщите точное время	Точное время … часов
QTU	В какие часы работает ваша станция?	Моя станция работает от … до …
QTV	Должен ли я обеспечить дежурство вместо вас на … кГц (МГц)	Обеспечьте вместо меня дежурство на … кГц (МГц)
QTX	Будете ли вы на приёме для дальнейшей связи со мной до получения известий (или до … час)?	Я буду на приёме до получения известия (или до … час)
QUA	Есть ли у вас известия от …?	У меня есть известия от …
QUD	Получили ли вы сигнал срочности от …?	Я получил сигнал срочности от …
QUF	Получили ли вы сигнал бедствия от …?	Я получил сигнал бедствия от …
QXS	Должен ли я пригласить … к аппарату для переговоров?	Пригласите … к аппарату для переговоров
QXX	Должен ли я заменить оператора?	Замените оператора
QYD	Сообщите причину неответа в … час … мин	Причина неответа …
QZZ	Это фон 60 Гц или вы храпите?	Я засыпаю у микрофона.
RAC	Rough alternating current	Грубый тон переменного тока
RAIN	Rain	Дождь
RCD	Received	Принял, получил
RCVD	Received	Принял, получил
RCV	Receive	Получать, принимать
RCVR	Receiver	Приёмник
RDI	Ready	Готов, готовьтесь
RDN	Radiation	Излучение
RDO	Radio	Радио
RDY	Ready	Готов, готовьтесь
REF	Reference	Ссылка (на книгу, справочник)
REG	Regulation, regulator	Регулировка, регулятор
REG	Regular	Регулярно
REG	Region	Регион
REPT	Report	Сообщение
RFI	Radio frequency interference	Радиопомеха
RI	Radio inspector	Контроллер за работой радиостанций
RIG	Transmitter	Передатчик
RITE	Write	Писать, пишите
RPRT	Report	Сообщение
RPT	Repeat	Повторение, повторите, повторяю
RQ	Request	Запрос
RSGB	Radio Society of Great Britain	Радиолюбительское общество Великобритании
RST	Readability - Strength - Tone (signal report)	Разбираемость - Сила - Тон (оценка сигнала)
R	Right, yes, received solid, roger	Верно, правильно принял
RTTY	Radio teletype	Радиотелетайп
RX	Receiver	Приёмник
SAE	Self addressed envelope	Конверт с обратным адресом
SA	Say	Скажите
SA	South America	Южная америка
SASE	Self addressed stamped envelope	Конверт с обратным адресом и марками
SECOND	Second	Второй
SECURITE	Security signal	Сигнал безопасности
SED	Said	Сказал
SEC	Second	Секунда
SEND	Send	Посылать, передавать
SGD	Signature, signed	Подписывать, подпись
SIG	Signal	Сигнал
SIGS	Signals	Сигналы
SKED	Schedule	Расписание работы
SK	Signing off	Полное окончание связи
SL	See you later	Встретимся позже
SM	Some	Некоторые, несколько
SNOW	Snow	Снег
SN	Soon	Скоро, вскоре
SOLID	Solid	Уверенно, солидно
SOON	Soon	Скоро, вскоре
SORI	Sorry	Извините
SOS	Distress signal	Сигнал бедствия
SOUTH	Soon	Скоро, вскоре
SP	Short path	Короткий путь (о прохождении)
SPK	Speak	Говорить
SRI	Sorry	Извините
SSB	Single side band	Одна боковая полоса
SSTV	Slow scanning television	Телевидение с медленной разверткой
STDI	Steady	Устойчиво
STN	Station	Станция
STRONG	Strong	Сильно
SUM	Some	Несколько
SURE	Sure	Уверенность, будьте уверенны
SVC	Service	Служба, служебный
SVL	Several	Отдельный, собственный (?несколько?)
SWL	Shortwave listener	Наблюдатель
SWR	Standing wave ratio	Коэффициент стоячей волны
SW	Short wave	Короткие волны
SW	Switch	Выключатель
T	Tone	Тон
TBL	Trouble	Ужасный, плохой, проблемы
TDA	Today	Сегодня
TEMP	Temporary	Временно
TEMP	Temperature	Температура
TEN	Ten	Десятиметровый диапазон
TEST	Test, Contest	Опыт, опытная работа, соревнования
TFC	Traffic (messages)	График, регулярная радиосвязь, обмен
TFX	Traffic (messages)	График, регулярная радиосвязь, обмен
THR	There	Здесь, их, свой, свои (мест.)
THRU	Through	Через (кого либо)
TILL	Till	До
TIME	Time	Время
TKS	Thanks	Благодарность
TKU	Thank you	Благодарю Вас
TMR	Tomorrow	Завтра
TMW	Tomorrow	Завтра
TNG	Thing	Вещь
TNG	Tuning	Настройка
TNX	Thanks	Благодарность
TODI	Today	Сегодня
TONE	Tone	Тон
TOO	Too	Также, слишком
TO	To	К, для
TR	Transmit/Receive	Приём/Передача
TRCVR	Transceiver	Трансивер
TRF	Tuned radio frequency	Настройка частоты
TRU	True	Правда
TRUB	Trouble	Помеха, затруднение
TT	Teletype	Телетайп
TTT	Safety signal	Сигнал безопасности
TUBE	Tube	Радиолампа
TU	Thank you	Благодарю Вас
TV	Television	Телевидение
TVI	Television interference	Помехи приёму телевидения
TX	Transmitter	Передатчик
TXT	Text	Текст
U	You	Вы
U	Up	Вверх (по частоте)
UFB	Ultra fine business	Превосходно
UHF	Ultra High Frequency	Ультравысокая частота
UK	United Kingdom	Великобритания
UK	Understand	Понял
UNLIS	Unlicensed	Нелегальная станция
UNSTDI	Unsteady	Нестабильно, неустойчиво
UP	Up	Верх, выше
URS	Yours	Ваши
UR	Your	Ваш
USB	Upper side band	Верхняя боковая полоса
UT1	Universal Time	Универсальное время
UTC	Universal coordinated time	Универсальное координированное время
UT	Universal Time	Универсальное время
U	You (or USSR radioamateur)	Вы (или советский коротковолновик)
V	Volt	Вольт
VA	Volt-Ampere	Вольт-Ампер
VALVE	Valve	Радиолампа
VERT	Vertical	Вертикальная (антенна)
VCO	Voltage controlled oscillator	Генератор, управляемый напряжением
VFB	Very Fine Business	Прекрасная работа (в эфире)
VFO	Variable frequency oscillator	Генератор плавного диапазона
VHF	Very high frequency	Сверхвысокие частоты
VIA	Via	Через, посредством
VOX	Volt-actuated transmitter operation	Включение передатчика от голоса оператора
VRY	Very	Очень
VRI	Very	Очень
VXO	Variable crystal oscillator	Перестраиваемый кварцевый генератор
VY	Very	Очень
WARM	Warm	Тепло
WAVE	Wave	Волна
WA	Word after	Слово после
WA	Wide Angle	Широкий угол (о направленности антенны)
WA	What	Что (вопр.)
WAT	What	Что (вопр.)
WAC	Worked All Continents	"Работал со всеми континентами" (диплом)
WATSA	What say?	Что вы говорите?
WB	Word before	Слово до
WDS	Words	Слова
WD	Word	Слово
WEAK	Weak	Слабый
WELL	Well	Хорошо
WEST	West	Запад
WID	With	С
WILCO	Will comply. Will do	Будет сделано, будет исполнено
WIND	Wind	Ветер
WKD	Worked	Работал
WKG	Working	Работаю
WLL	Will	Буду, будет, будете
WL	Will	Буду, будет, будете
WL	Well	Хорошо
WT	Weigth. What. Wait	Вес. Что (вопр.). Подождите
WPM	Word per minute	Слов в минуту
WRKD	Worked	Работал
WRKED	Worked	Работал
WRK	Work	Работа, работать
WTTS	Watts	Ватты
W	Word	Слово
W	Watt	Ватт
WW	World-wide	Весь мир, всемирный
WX	Weather	Погода
WY	Why	Почему, зачем
XCRV	Transceiver	Трансивер
X	Crystal	Прекрасный, "кристалльный" тон
XMSN	Transmission	Передача
XMTR	Transmitter	Приёмник
XTAL	Crystal	Кварцевый кристалл
XUSE	Excuse	Извинения
XXX	Urgency signal	Сигнал бедствия
XYL	Ex young lady, wife	Жена
YDAY	Yesterday	Вчера
YES	Yes	Да
YF	Young female	Жена
YL	Young lady	Девушка
YR	Year	Год
YR	Your	Ваш, ваше
YRS	Years	Годы
YRS	Yours	Ваши
ZAN	Принимаете ли Вы меня?	Я абсолютно ничего не принимаю
ZAP	Должен ли я подтвердить приём?	Пожалуйста, подтвердите приём
ZB	Zero beat	Нулевые биения
ZCK	Какова моя манипуляция?	Проверьте Вашу манипуляцию
ZCL	Должен ли я передавать мой позывной сигнал разборчивее?	Передавайте Ваш позывной сигнал разборчивее
ZDF	Меняется ли моя частота?	Ваша частота меняется
ZFO	Замирают ли мои сигналы?	Ваши сигналы замирают
ZGS	Становятся ли мои сигналы громче?	Ваши сигналы становятся громче
ZGW	Становятся ли мои сигналы тише?	Ваши сигналы становятся тише
ZOK	Как Вы меня принимаете?	Принимаю Вас уверенно
ZRN	Какой тон моих сигналов?	У Ваших сигналов плохой тон
ZSU	Разборчивы ли мои сигналы?	Ваши сигналы невозможно разобрать
ZWO	Должен ли я передавать слова один раз?	Передавайте слова один раз
ZWT	Должен ли я передавать слова дважды?	Передавайте слова дважды
Z	Zeit, universal coordinated time	Время
БЛГ	Thank you	Благодарю
ДСВ	Goodbye	До свидания
ЗДР	How do you do?	Здравствуйте
НЛД	.	"На любительских диапазонах"
СЛД	Follow	Следите
СПБ	Thanks	Спасибо
ТОВ	Camarade	Товарищ
